Zajezdnia Obornicka,51.148737440001426,17.021068589999807
Paprotna,51.14797039542968,17.02058385720045
Obornicka (Wołowska),51.144385000003176,17.02373500000025
Bezpieczna,51.1417345334129,17.02582979138253
Bałtycka,51.137439079286395,17.029936235988473
Broniewskiego,51.13570902418009,17.036389919198985
Pola,51.13673273477139,17.04393403885881
Syrokomli,51.137287952423044,17.048406966470477
Kasprowicza,51.13787792017114,17.053602875917775
pl. Daniłowskiego,51.138610487774294,17.05957657203656
Przybyszewskiego,51.14011672999925,17.062966959999784
Czajkowskiego,51.139164330000845,17.06510721000051
KOSZAROWA (Uniwersytet),51.14049516000027,17.068479890000113
KOSZAROWA (Szpital),51.14166292000123,17.06477615000031
Berenta,51.135489404276065,17.05741526195942
KROMERA,51.132000798940666,17.064170742628242
Mosty Warszawskie,51.128297973735584,17.054719457429567
Wyszyńskiego,51.12249754429881,17.052608194783176
Ogród Botaniczny,51.11669571893269,17.0511217878138
Katedra,51.113640743515035,17.05039818048755
Urząd Wojewódzki (Muzeum Narodowe),51.10998934726576,17.048023048728002
Poczta Główna,51.10785650000178,17.045637420000244
skwer Krasińskiego,51.103828506165534,17.041506549062
Wzgórze Partyzantów,51.10399969649467,17.037605641026214
Renoma,51.10407235327389,17.030867335723435
Arkady (Capitol),51.101414365313005,17.029279174502918
Pl. Hirszfelda,51.09415899525254,17.017138726767666
Krucza,51.09365989355027,17.00922694855659
Krucza (Mielecka),51.09333501166291,17.00313644843267
Inżynierska,51.09465582807628,16.99156922251832
Aleja Pracy,51.09172218661944,16.985944894516834
FAT,51.09447767835252,16.979967113845426
GRABISZYŃSKA (Cmentarz),51.09011889829006,16.976753072962385
Solskiego,51.08149477935782,16.96818504878286
Wiejska,51.07764363944034,16.96402221613348
Kadłubka,51.076348749866895,16.968765625377458
Stanki,51.07624285274152,16.972959265483517
Bukowskiego,51.07659775216625,16.97747855562547
RACŁAWICKA,51.077484510471116,16.984314746624534
Rymarska,51.07943483828136,16.992060706132463
Wawrzyniaka,51.07732533930211,16.997524161400207
Chłodna,51.07505390203499,16.99675159757295
Sowia,51.07377055216431,17.001731782589744
KRZYKI,51.07493721362521,17.0069501585093
Dworzec Główny (Dworcowa),51.10089245101711,17.039845466063888
Krasińskiego,51.10585895999977,17.04334082000036
Damrota,51.12648854000114,17.054876099999333
Koszarowa,51.14028894071547,17.069988839346415
Sołtysowicka,51.143134060307524,17.07113347641154
Poprzeczna,51.146194510037084,17.07358015819947
Redycka,51.148925517201405,17.075392513995336
Bagatela,51.1524876463265,17.069724527940465
SOŁTYSOWICE,51.15517037000016,17.06442220999998
POŚWIĘTNE,51.15067662583326,17.028959923461535
Wołowska,51.147791426415885,17.030060731953718
Kępińska,51.14424974330183,17.031136698321085
Kamieńskiego,51.13999177290218,17.032629652161944
Grudziądzka,51.137914861379045,17.074347898565662
Brücknera,51.138864127511106,17.081326877916688
Psie Pole,51.14569165350761,17.111217136019167
Psie Pole (Rondo Lotników Polskich),51.147319373736146,17.115015048870447
Zakrzowska,51.151680973504625,17.116045066078367
Kopańskiego,51.15453338000148,17.118967050000123
Wallenroda,51.15556210719838,17.11979536237661
Królewska,51.15556756000011,17.129133420000176
OSIEDLE SOBIESKIEGO,51.159155382149684,17.13261936294323
Kwidzyńska,51.131446348126936,17.078898672064163
Zacisze,51.12427291382819,17.07802910342439
Śniadeckich,51.12017210108712,17.07739147267566
Kochanowskiego,51.115075957935225,17.073537072658418
PL. GRUNWALDZKI,51.11156750210288,17.060653898559913
most Grunwaldzki,51.11015746449836,17.05539021565659
GALERIA DOMINIKAŃSKA,51.107880935878136,17.039151498438518
EPI,51.098044505925664,17.03055225797818
DWORZEC AUTOBUSOWY,51.09711282534643,17.03361605839725
Dyrekcyjna,51.09430136000155,17.03222909000029
PETRUSEWICZA,51.091910801995304,17.032009979395525
Rondo,51.09114371158805,17.01711157799725
Hallera,51.08654621915663,17.012160219582864
Orla,51.080119019791105,17.00811253845033
Zimowa,51.07148028580008,17.000117504885953
Os. Przyjaźni,51.069395899091525,16.99700788002236
Skarbowców,51.0666216672147,16.990293797870603
KLECINA,51.06545950647575,16.98716709730526
Kościelna,51.06373547481037,16.982656014737046
WAŁBRZYSKA,51.064183940120195,16.97790038226329
Marchewkowa,51.06656834281109,16.974151476174445
GIEŁDOWA (Centrum Hurtu),51.06812971135714,16.969488357206735
Kleczkowska,51.12707772746895,17.02772497115584
pl. Strzelecki,51.12240723423404,17.02644521621624
Pomorska,51.117779025542944,17.031104337551152
Mosty Pomorskie,51.11485729232576,17.03065588268811
Rynek,51.11067833129947,17.026902034543518
Narodowe Forum Muzyki,51.10790922693007,17.026373151551166
Urząd Wojewódzki (Impart),51.10859513068627,17.049886659966788
Kromera (Czajkowskiego),51.135935399478015,17.069741881649268
Świdnicka,51.107390380172276,17.032069214728182
Mochnackiego,51.14213660309783,17.036676478560455
Jutrosińska,51.14669246707543,17.04193891857979
Kamieńskiego (Szpital),51.14869855977838,17.042974103421926
KAMIEŃSKIEGO (pętla),51.15070043125037,17.043199066250157
Różanka,51.139450896642856,17.021402726578735
Łużycka,51.136173843651285,17.016502720735232
most Osobowicki,51.13309830068997,17.026891799512295
DWORZEC GŁÓWNY,51.099916953268725,17.03561872720096
Borowska (Aquapark),51.08900696303841,17.034523903208058
Śliczna,51.085395710158444,17.035182973735505
Działkowa,51.07807454355915,17.034029824800758
GAJ,51.077073386496274,17.040640340330757
Świeradowska,51.07700734368814,17.04677210439509
GAJ - pętla,51.076842810875306,17.05063162425915
